date,Travel,Flight,Shopping,Hotel
2020-01-22,32,52,48,65
2020-01-23,29,60,41,65
2020-01-24,28,66,40,64
2020-01-25,27,64,62,62
2020-01-26,31,59,60,68
2020-01-27,30,60,39,65
2020-01-28,39,61,45,65
2020-01-29,30,53,45,62
2020-01-30,30,55,49,61
2020-01-31,32,60,47,63
2020-02-01,25,59,68,67
2020-02-02,27,61,55,73
2020-02-03,30,62,49,71
2020-02-04,32,57,53,67
2020-02-05,27,53,54,67
2020-02-06,33,63,51,66
2020-02-07,35,66,63,67
2020-02-08,28,72,55,68
2020-02-09,30,100,57,75
2020-02-10,39,75,67,70
2020-02-11,33,61,57,69
2020-02-12,32,57,59,74
2020-02-13,37,56,53,69
2020-02-14,32,55,59,67
2020-02-15,24,74,71,74
2020-02-16,27,79,69,75
2020-02-17,29,69,55,71
2020-02-18,34,57,53,66
2020-02-19,32,54,55,71
2020-02-20,27,62,47,70
2020-02-21,27,65,52,66
2020-02-22,30,64,59,67
2020-02-23,34,66,55,72
2020-02-24,31,67,45,68
2020-02-25,33,54,48,60
2020-02-26,38,52,49,59
2020-02-27,30,57,63,57
2020-02-28,33,52,59,57
2020-02-29,27,54,65,57
2020-03-01,31,63,53,60
2020-03-02,30,53,47,56
2020-03-03,37,50,46,55
2020-03-04,38,52,46,53
2020-03-05,34,48,58,52
2020-03-06,34,58,54,55
2020-03-07,32,54,51,55
2020-03-08,28,49,51,57
2020-03-09,39,60,44,52
2020-03-10,40,58,42,50
2020-03-11,42,60,44,45
2020-03-12,100,70,37,40
2020-03-13,52,77,42,37
2020-03-14,49,73,44,48
2020-03-15,38,67,34,37
2020-03-16,39,52,36,26
2020-03-17,34,52,31,21
2020-03-18,28,49,34,21
2020-03-19,29,48,43,20
2020-03-20,27,40,49,19
2020-03-21,26,46,39,21
2020-03-22,24,42,35,20
2020-03-23,23,36,37,18
2020-03-24,21,35,47,18
2020-03-25,22,31,44,18
2020-03-26,21,36,67,15
2020-03-27,18,36,71,16
2020-03-28,18,40,40,19
2020-03-29,17,40,41,20
2020-03-30,20,33,56,16
2020-03-31,20,38,52,15
2020-04-01,20,30,53,17
2020-04-02,18,30,55,17
2020-04-03,16,36,73,16
2020-04-04,21,44,50,19
2020-04-05,19,61,46,19
2020-04-06,23,33,59,15
2020-04-07,19,31,55,16
2020-04-08,17,32,50,23
2020-04-09,21,34,59,16
2020-04-10,17,38,59,16
2020-04-11,22,42,41,16
2020-04-12,19,39,50,16
2020-04-13,18,40,71,18
2020-04-14,18,34,50,18
2020-04-15,23,32,68,17
2020-04-16,20,36,54,17
2020-04-17,17,32,70,16
2020-04-18,17,32,54,19
2020-04-19,19,36,41,26
2020-04-20,21,34,79,19
2020-04-21,17,28,67,17
2020-04-22,20,34,86,16
2020-04-23,20,35,60,16
2020-04-24,18,33,73,17
2020-04-25,21,34,59,18
2020-04-26,21,37,44,25
2020-04-27,25,30,61,16
2020-04-28,19,30,56,16
2020-04-29,18,31,58,16
2020-04-30,20,28,57,15
2020-05-01,21,32,88,18
2020-05-02,18,27,60,19
2020-05-03,24,30,43,19
2020-05-04,20,33,58,15
2020-05-05,21,26,67,16
2020-05-06,21,26,50,20
2020-05-07,20,29,66,19
2020-05-08,19,34,75,19
2020-05-09,19,34,55,19
2020-05-10,24,28,52,19
2020-05-11,23,26,66,18
2020-05-12,24,28,49,20
2020-05-13,27,20,68,19
2020-05-14,26,27,62,22
2020-05-15,16,28,64,24
2020-05-16,25,29,55,24
2020-05-17,27,37,57,26
2020-05-18,20,32,67,23
2020-05-19,20,29,60,22
2020-05-20,21,33,61,26
2020-05-21,20,39,100,26
2020-05-22,24,27,84,23
2020-05-23,21,25,77,27
2020-05-24,19,33,50,30
2020-05-25,22,28,56,26
2020-05-26,21,24,59,25
2020-05-27,18,33,71,26
2020-05-28,23,25,58,32
2020-05-29,21,29,61,35
2020-05-30,21,34,57,38
2020-05-31,21,43,47,41
2020-06-01,23,37,67,40
2020-06-02,21,25,62,43
2020-06-03,22,33,76,38
2020-06-04,26,24,62,38
