date,Travel,Flight,Shopping,Hotel
2020-01-22,40,63,19,83
2020-01-23,41,56,18,78
2020-01-24,42,64,19,79
2020-01-25,42,63,29,77
2020-01-26,48,66,29,95
2020-01-27,36,59,27,83
2020-01-28,41,57,21,78
2020-01-29,43,50,14,77
2020-01-30,40,48,20,73
2020-01-31,45,60,21,74
2020-02-01,40,56,27,77
2020-02-02,47,57,29,96
2020-02-03,42,60,30,78
2020-02-04,45,46,21,79
2020-02-05,41,55,19,75
2020-02-06,41,60,19,73
2020-02-07,35,47,21,71
2020-02-08,34,53,26,73
2020-02-09,35,100,17,81
2020-02-10,40,86,19,71
2020-02-11,43,73,19,82
2020-02-12,42,57,20,76
2020-02-13,41,48,21,73
2020-02-14,36,61,26,74
2020-02-15,36,58,29,78
2020-02-16,43,65,20,95
2020-02-17,43,61,22,81
2020-02-18,38,44,23,77
2020-02-19,36,49,21,77
2020-02-20,37,60,19,72
2020-02-21,39,54,23,72
2020-02-22,38,58,31,72
2020-02-23,40,63,24,82
2020-02-24,46,63,23,74
2020-02-25,46,51,20,72
2020-02-26,39,52,19,69
2020-02-27,41,52,20,60
2020-02-28,39,44,23,60
2020-02-29,39,46,27,62
2020-03-01,43,47,18,77
2020-03-02,40,55,20,67
2020-03-03,41,46,20,65
2020-03-04,47,51,19,64
2020-03-05,47,63,21,62
2020-03-06,39,49,24,66
2020-03-07,43,55,29,67
2020-03-08,46,54,21,76
2020-03-09,46,51,20,65
2020-03-10,49,60,23,58
2020-03-11,50,56,21,52
2020-03-12,100,70,19,46
2020-03-13,58,73,16,44
2020-03-14,51,83,22,48
2020-03-15,45,76,18,46
2020-03-16,47,72,18,42
2020-03-17,42,58,18,39
2020-03-18,33,50,16,31
2020-03-19,32,64,16,26
2020-03-20,29,48,14,23
2020-03-21,26,58,19,27
2020-03-22,26,63,15,27
2020-03-23,25,43,16,25
2020-03-24,23,35,17,27
2020-03-25,23,45,17,24
2020-03-26,20,34,17,22
2020-03-27,22,38,17,20
2020-03-28,18,38,23,21
2020-03-29,24,40,20,23
2020-03-30,26,36,22,20
2020-03-31,24,40,27,21
2020-04-01,23,35,26,20
