date,Travel,Flight,Shopping,Hotel
2020-01-22,76,51,66,40
2020-01-23,77,66,74,40
2020-01-24,70,75,76,40
2020-01-25,77,49,84,40
2020-01-26,47,58,65,39
2020-01-27,86,59,72,39
2020-01-28,74,60,66,40
2020-01-29,88,51,76,40
2020-01-30,84,66,59,40
2020-01-31,70,69,73,41
2020-02-01,70,70,90,38
2020-02-02,63,59,76,39
2020-02-03,79,53,69,41
2020-02-04,76,55,54,40
2020-02-05,74,56,59,39
2020-02-06,74,59,60,38
2020-02-07,70,61,54,37
2020-02-08,49,66,64,36
2020-02-09,55,100,65,37
2020-02-10,83,85,63,41
2020-02-11,79,65,70,42
2020-02-12,89,54,70,42
2020-02-13,75,70,69,42
2020-02-14,75,48,72,41
2020-02-15,56,83,80,44
2020-02-16,58,88,78,43
2020-02-17,86,70,67,43
2020-02-18,88,62,64,42
2020-02-19,79,62,55,41
2020-02-20,68,62,63,41
2020-02-21,76,81,67,37
2020-02-22,58,56,61,30
2020-02-23,53,77,77,27
2020-02-24,80,79,54,26
2020-02-25,71,80,48,25
2020-02-26,68,47,53,25
2020-02-27,73,67,44,25
2020-02-28,67,49,60,28
2020-02-29,75,72,70,27
2020-03-01,71,75,74,31
2020-03-02,69,68,52,29
2020-03-03,71,60,52,29
2020-03-04,66,60,53,25
2020-03-05,70,56,61,24
2020-03-06,57,47,59,23
2020-03-07,52,55,56,22
2020-03-08,50,55,61,15
2020-03-09,67,62,46,14
2020-03-10,60,66,41,12
2020-03-11,38,52,46,9
2020-03-12,49,51,52,12
2020-03-13,48,56,50,11
2020-03-14,33,56,61,15
2020-03-15,32,52,68,16
2020-03-16,40,45,54,12
2020-03-17,37,36,55,12
2020-03-18,41,36,62,11
2020-03-19,36,30,54,10
2020-03-20,32,30,62,8
2020-03-21,26,30,64,10
2020-03-22,24,47,60,12
2020-03-23,31,33,66,10
2020-03-24,33,30,52,10
2020-03-25,32,34,51,10
2020-03-26,33,37,60,8
2020-03-27,27,29,56,9
2020-03-28,33,32,59,9
2020-03-29,31,27,75,10
2020-03-30,32,14,68,9
2020-03-31,30,28,68,9
2020-04-01,33,30,64,8
2020-04-02,32,27,67,9
2020-04-03,27,28,71,9
2020-04-04,32,38,70,9
2020-04-05,36,37,72,9
2020-04-06,29,28,69,9
2020-04-07,28,42,68,9
2020-04-08,29,29,75,9
2020-04-09,29,40,75,9
2020-04-10,36,34,81,9
2020-04-11,24,41,78,10
2020-04-12,34,40,83,11
2020-04-13,33,46,99,11
2020-04-14,41,32,95,10
2020-04-15,40,28,90,9
2020-04-16,36,30,79,10
2020-04-17,34,28,92,9
2020-04-18,38,38,98,9
2020-04-19,32,32,80,11
2020-04-20,36,54,86,10
2020-04-21,38,40,76,10
2020-04-22,40,35,91,10
2020-04-23,37,34,74,10
2020-04-24,36,33,75,11
2020-04-25,42,36,71,11
2020-04-26,34,32,88,13
2020-04-27,38,37,79,10
2020-04-28,39,27,91,10
2020-04-29,32,29,85,9
2020-04-30,35,30,78,9
2020-05-01,42,47,87,11
2020-05-02,46,28,91,10
2020-05-03,27,37,82,11
2020-05-04,35,44,89,10
2020-05-05,34,25,85,10
2020-05-06,32,32,77,10
2020-05-07,39,42,68,10
2020-05-08,43,36,75,11
2020-05-09,33,28,84,11
2020-05-10,33,35,86,13
2020-05-11,38,31,70,12
2020-05-12,38,28,79,12
2020-05-13,37,34,71,12
2020-05-14,40,38,71,12
2020-05-15,36,34,79,12
2020-05-16,42,39,83,15
2020-05-17,38,36,93,20
2020-05-18,42,34,97,17
2020-05-19,38,34,83,16
2020-05-20,41,20,74,15
2020-05-21,29,36,75,17
2020-05-22,43,28,81,18
2020-05-23,47,40,86,21
2020-05-24,32,34,85,25
2020-05-25,36,34,73,20
2020-05-26,39,47,74,21
2020-05-27,43,34,71,21
2020-05-28,49,32,67,21
2020-05-29,37,34,78,20
2020-05-30,33,32,81,26
2020-05-31,37,48,88,31
2020-06-01,48,38,78,27
2020-06-02,47,34,70,33
2020-06-03,49,32,73,30
2020-06-04,48,29,64,28
2020-06-05,47,29,73,28
2020-06-06,41,25,81,34
2020-06-07,46,31,95,41
2020-06-08,47,28,69,36
2020-06-09,56,32,75,35
2020-06-10,49,25,64,35
2020-06-11,62,45,57,34
2020-06-12,50,40,67,36
2020-06-13,53,42,77,39
2020-06-14,65,34,100,47
2020-06-15,64,37,71,41
2020-06-16,63,40,63,43
2020-06-17,62,31,68,41
2020-06-18,59,34,73,43
2020-06-19,53,39,55,46
2020-06-20,47,38,62,52
2020-06-21,44,39,77,61
2020-06-22,61,49,58,53
2020-06-23,50,42,62,53
2020-06-24,53,45,70,52
2020-06-25,57,48,77,54
2020-06-26,55,27,75,54
2020-06-27,59,45,73,63
2020-06-28,53,43,70,72
2020-06-29,73,48,65,61
2020-06-30,77,38,73,58
2020-07-01,58,52,81,60
2020-07-02,68,41,75,61
2020-07-03,71,40,59,64
2020-07-04,51,43,77,67
2020-07-05,50,39,81,77
2020-07-06,56,31,69,66
2020-07-07,61,29,71,66
2020-07-08,71,28,72,67
2020-07-09,52,42,80,66
2020-07-10,75,54,68,66
2020-07-11,57,39,76,72
2020-07-12,50,46,77,79
2020-07-13,61,54,69,72
2020-07-14,70,54,76,65
2020-07-15,82,44,61,63
2020-07-16,63,50,66,65
2020-07-17,61,42,84,65
2020-07-18,55,34,83,73
2020-07-19,60,52,91,78
2020-07-20,72,48,66,73
2020-07-21,59,40,67,70
2020-07-22,64,33,75,69
2020-07-23,67,41,70,68
2020-07-24,52,39,97,65
2020-07-25,73,42,98,77
2020-07-26,60,50,90,84
2020-07-27,75,42,78,76
2020-07-28,86,36,86,72
2020-07-29,74,41,69,72
2020-07-30,70,55,74,74
2020-07-31,68,53,68,76
2020-08-01,62,48,89,80
2020-08-02,80,51,97,88
2020-08-03,80,71,99,82
2020-08-04,100,36,86,77
2020-08-05,77,68,73,76
2020-08-06,86,57,62,79
2020-08-07,77,41,79,79
2020-08-08,70,44,86,89
2020-08-09,66,56,89,100
2020-08-10,71,52,82,91
