date,Travel,Flight,Shopping,Hotel
2020-01-22,89,16,67,47
2020-01-23,72,24,70,49
2020-01-24,57,20,41,41
2020-01-25,59,18,72,43
2020-01-26,50,22,41,39
2020-01-27,71,19,51,45
2020-01-28,71,18,62,44
2020-01-29,68,23,91,41
2020-01-30,59,21,84,42
2020-01-31,85,21,58,43
2020-02-01,70,23,45,38
2020-02-02,86,17,62,34
2020-02-03,82,19,75,43
2020-02-04,84,16,59,43
2020-02-05,69,29,42,40
2020-02-06,60,29,38,40
2020-02-07,62,21,53,43
2020-02-08,72,21,61,40
2020-02-09,85,21,100,38
2020-02-10,80,26,41,42
2020-02-11,88,20,46,43
2020-02-12,71,15,52,42
2020-02-13,65,17,53,43
2020-02-14,64,16,48,47
2020-02-15,74,20,44,40
2020-02-16,70,17,75,38
2020-02-17,80,21,57,44
2020-02-18,63,18,62,45
2020-02-19,69,22,69,46
2020-02-20,79,22,62,46
2020-02-21,61,16,50,43
2020-02-22,78,19,67,42
2020-02-23,65,19,52,32
2020-02-24,65,17,48,42
2020-02-25,74,21,64,45
2020-02-26,62,17,49,44
2020-02-27,65,22,37,37
2020-02-28,56,14,48,30
2020-02-29,52,21,41,37
2020-03-01,66,24,64,35
2020-03-02,88,19,69,42
2020-03-03,62,17,78,43
2020-03-04,81,18,68,43
2020-03-05,73,22,58,43
2020-03-06,66,19,54,43
2020-03-07,65,14,51,43
2020-03-08,74,16,56,37
2020-03-09,78,18,78,43
2020-03-10,69,14,53,40
2020-03-11,53,18,62,30
2020-03-12,100,18,56,32
2020-03-13,75,27,43,31
2020-03-14,72,29,34,31
2020-03-15,60,27,53,24
2020-03-16,45,25,34,25
2020-03-17,41,25,47,20
2020-03-18,33,24,46,14
2020-03-19,40,15,48,16
2020-03-20,29,22,35,13
2020-03-21,46,18,57,14
2020-03-22,31,20,51,13
2020-03-23,35,14,41,13
2020-03-24,30,13,57,13
2020-03-25,39,13,33,12
2020-03-26,32,13,52,12
2020-03-27,33,15,49,11
2020-03-28,38,15,50,12
2020-03-29,36,14,57,11
2020-03-30,41,14,45,11
2020-03-31,33,11,57,11
2020-04-01,27,13,31,10
2020-04-02,27,14,52,11
2020-04-03,38,14,58,9
2020-04-04,34,13,62,10
2020-04-05,25,18,43,11
2020-04-06,32,11,27,10
2020-04-07,38,13,52,11
2020-04-08,34,13,50,10
2020-04-09,27,12,36,10
2020-04-10,40,13,57,9
2020-04-11,36,13,55,11
2020-04-12,23,20,42,9
2020-04-13,30,14,61,11
2020-04-14,39,13,48,10
2020-04-15,43,15,71,11
2020-04-16,34,13,59,10
2020-04-17,40,16,48,9
2020-04-18,47,20,52,12
2020-04-19,39,9,62,12
2020-04-20,33,11,51,14
2020-04-21,45,14,64,11
2020-04-22,37,17,39,9
2020-04-23,25,100,51,11
2020-04-24,34,15,41,13
2020-04-25,34,15,63,12
2020-04-26,36,17,55,11
2020-04-27,35,13,62,10
2020-04-28,34,17,46,11
2020-04-29,40,14,57,10
2020-04-30,32,11,48,10
2020-05-01,45,19,51,12
2020-05-02,36,13,42,10
2020-05-03,29,15,59,11
2020-05-04,32,12,48,9
2020-05-05,39,11,51,12
2020-05-06,38,17,48,11
2020-05-07,40,10,60,10
2020-05-08,30,10,56,11
2020-05-09,43,10,37,11
2020-05-10,33,14,28,13
2020-05-11,37,20,46,12
2020-05-12,40,12,50,13
2020-05-13,49,12,48,15
2020-05-14,42,13,28,14
2020-05-15,37,10,51,13
2020-05-16,47,12,64,17
2020-05-17,45,14,58,15
2020-05-18,52,12,71,15
2020-05-19,50,14,68,17
2020-05-20,57,11,51,16
2020-05-21,62,13,37,18
2020-05-22,44,15,45,15
2020-05-23,54,15,62,15
2020-05-24,41,18,27,16
2020-05-25,57,13,37,18
2020-05-26,73,18,39,18
2020-05-27,52,12,41,18
2020-05-28,64,12,27,16
2020-05-29,55,14,57,18
2020-05-30,59,14,48,20
2020-05-31,55,19,47,23
2020-06-01,59,12,48,21
2020-06-02,56,15,25,22
